Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Rajendra Ajita G,Director,2021-11-17,Option Exercise,50.16,"56,225","2,820,246","68,352",Nov 18 05:19 PM
Rajendra Ajita G,Director,2021-11-17,Sale,82.29,"44,620","3,671,570","23,732",Nov 18 05:19 PM
Carver Samuel M.,SVP - Global Operations,2021-11-15,Option Exercise,23.23,"5,140","119,428","11,536",Nov 15 04:28 PM
Carver Samuel M.,SVP - Global Operations,2021-11-15,Sale,81.33,"5,140","418,026","6,396",Nov 15 04:28 PM
WOLF IDELLE K,Director,2021-11-12,Sale,81.24,"1,157","93,995","47,078",Nov 12 05:10 PM
Heideman Robert J,"Senior VP, CTO",2021-11-08,Option Exercise,49.42,"9,243","456,789","18,609",Nov 09 10:42 AM
Heideman Robert J,"Senior VP, CTO",2021-11-08,Sale,77.49,"9,243","716,256","9,366",Nov 09 10:42 AM
Rajendra Ajita G,Director,2021-11-02,Option Exercise,31.67,"124,010","3,927,397","136,137",Nov 03 05:10 PM
Rajendra Ajita G,Director,2021-11-02,Sale,76.87,"124,010","9,532,264","12,127",Nov 03 05:10 PM
WOLF IDELLE K,Director,2021-11-02,Sale,78.13,"1,500","117,194","48,235",Nov 03 04:28 PM
Rajendra Ajita G,Director,2021-11-01,Option Exercise,30.77,"55,730","1,714,533","67,857",Nov 02 04:04 PM
Rajendra Ajita G,Director,2021-11-01,Sale,74.86,"55,730","4,172,121","12,127",Nov 02 04:04 PM
WOLF IDELLE K,Director,2021-11-01,Sale,74.78,"1,000","74,782","49,735",Nov 01 04:34 PM
BROWN RONALD D,Director,2021-11-01,Sale,74.41,"15,000","1,116,135","8,896",Nov 01 03:37 PM
Wheeler Kevin J.,"Chairman, President and CEO",2021-09-01,Option Exercise,72.06,"3,915","282,115","40,665",Sep 02 04:11 PM
