Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Hartshorn Michael J.,"GROUP PRESIDENT, COO",2022-03-06,Sale,112.37,"20,529","2,306,811","127,659",Mar 08 02:04 PM
BUSH MICHAEL J,Director,2022-06-08,Sale,81.46,"1,000","81,456","34,496",Jun 10 03:00 PM
KOBAYASHI MICHAEL K,"President, Ops. & Technology",2021-07-02,Sale,125.13,63,"7,883","82,618",Jul 06 01:42 PM
