Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
MIHALIK TREVOR I,Executive VP and CFO,2022-03-01,Sale,148.50,"2,306","342,441","21,362",Mar 01 05:31 PM
Martin Jeffrey W,"Chairman, CEO and President",2022-02-28,Sale,150.99,"10,413","1,572,276","19,261",Mar 01 05:31 PM
Sedgwick Karen L,"Chief HR Officer, CAO",2022-02-02,Sale,159.44,"1,621","258,449","20,823",Feb 02 04:49 PM
WALL PETER R,"SVP, Controller and CAO",2022-01-31,Sale,161.16,"2,940","473,810","5,681",Jan 31 04:58 PM
Martin Jeffrey W,"Chairman, CEO and President",2022-01-30,Sale,161.92,"15,964","2,584,922","19,261",Jan 30 06:18 PM
Martin Jeffrey W,"Chairman, CEO and President",2022-03-28,Sale,162.23,"30,796","4,996,049","19,261",Mar 29 04:19 PM
WALL PETER R,"SVP, Controller and CAO",2022-03-01,Sale,144.45,"2,559","369,648","6,776",Mar 01 04:10 PM
Sedgwick Karen L,"Chief HR Officer, CAO",2022-01-28,Sale,135.08,908,"122,653","17,654",Jan 28 04:13 PM
WALL PETER R,"SVP, Controller and CAO",2021-12-16,Sale,130.0,"2,829","367,770","7,294",Dec 16 05:55 PM
