Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Cummings Kevin,Director,2022-02-10,Option Exercise,38.33,"90,689","3,476,109","546,478",Feb 13 05:09 PM
Cummings Kevin,Director,2022-02-10,Sale,43.00,"90,689","3,899,627","455,789",Feb 13 05:09 PM
Cummings Kevin,Director,2022-02-07,Option Exercise,38.33,"81,151","3,110,518","536,940",Feb 09 05:27 PM
Cummings Kevin,Director,2022-02-07,Sale,44.40,"81,151","3,603,104","455,789",Feb 09 05:27 PM
Lillis Terrance,Director,2022-04-26,Buy,41.31,"1,000","41,310","2,000",Apr 28 06:34 PM
