Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Goodarzi Sasan K,"CEO, President, and Director",2022-09-01,Option Exercise,0.00,"1,368",0,"61,576",Sep 06 03:31 PM
Krishna Varun,"EVP, Consumer Group",2022-09-01,Option Exercise,0.00,"2,760",0,"3,745",Sep 06 03:24 PM
SMITH BRAD D,Director,2022-09-01,Option Exercise,0.00,"67,061",0,"413,692",Sep 06 03:24 PM
Clatterbuck Michelle M,EVP and CFO,2022-09-01,Option Exercise,0.00,"13,427",0,"14,777",Sep 06 03:20 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-09-01,Option Exercise,0.00,"6,435",0,"17,343",Sep 06 03:17 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-09-01,Option Exercise,0.00,"17,262",0,"33,243",Sep 06 03:15 PM
Chriss James Alexander,"EVP, SBSEG",2022-09-01,Option Exercise,0.00,"17,262",0,"18,265",Sep 06 03:11 PM
Goodarzi Sasan K,"CEO, President, and Director",2022-08-25,Sale,463.21,"22,250","10,306,509","60,208",Aug 29 11:39 AM
Clatterbuck Michelle M,EVP and CFO,2022-08-25,Sale,462.12,"1,791","827,653","1,350",Aug 29 11:35 AM
Chriss James Alexander,"EVP, SBSEG",2022-08-25,Sale,462.09,"1,071","494,894","1,003",Aug 29 11:33 AM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-08-09,Option Exercise,0.00,257,0,"11,031",Aug 11 09:47 AM
SMITH BRAD D,Director,2022-08-09,Option Exercise,0.00,704,0,"361,611",Aug 11 09:45 AM
Clatterbuck Michelle M,EVP and CFO,2022-08-09,Option Exercise,0.00,874,0,"3,565",Aug 11 10:04 AM
Chriss James Alexander,"EVP, SBSEG",2022-08-09,Option Exercise,0.00,586,0,"2,359",Aug 11 10:04 AM
Tessel Marianna,"EVP, Chief Technology Officer",2022-08-09,Option Exercise,0.00,520,0,"16,233",Aug 11 10:05 AM
FENNELL LAURA A,"EVP, People and Places",2022-08-09,Option Exercise,0.00,772,0,"30,224",Aug 11 10:04 AM
Hotz Lauren D,"SVP, Chief Accounting Officer",2022-08-09,Option Exercise,0.00,40,0,"2,065",Aug 11 10:00 AM
Chriss James Alexander,"EVP, SBSEG",2022-08-01,Option Exercise,0.00,576,0,"2,059",Aug 03 12:01 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-08-01,Option Exercise,0.00,402,0,"15,913",Aug 03 12:02 PM
Liu Deborah,Director,2022-07-21,Option Exercise,0.0,"1,359",0,"1,441",Jul 22 05:32 PM
SMITH BRAD D,Director,2022-07-01,Option Exercise,0.0,"2,744",0,"361,849",Jul 06 07:41 PM
Goodarzi Sasan K,"CEO, President and Director",2022-07-01,Option Exercise,0.0,"5,581",0,"85,166",Jul 06 07:39 PM
Krishna Varun,"EVP, Consumer Group",2022-07-01,Option Exercise,0.0,744,0,"1,244",Jul 06 07:40 PM
Clatterbuck Michelle M,EVP and CFO,2022-07-01,Option Exercise,0.0,"2,364",0,"3,714",Jul 06 07:38 PM
FENNELL LAURA A,"EVP, People and Places",2022-07-01,Option Exercise,0.0,"1,461",0,"30,178",Jul 06 07:39 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-07-01,Option Exercise,0.0,842,0,"11,067",Jul 06 06:25 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-07-01,Option Exercise,0.0,"2,406",0,"16,683",Jul 06 06:25 PM
Hotz Lauren D,"VP, Chief Accounting Officer",2022-07-01,Option Exercise,0.0,535,0,"2,213",Jul 06 06:24 PM
Chriss James Alexander,"EVP, SBSEG",2022-07-01,Option Exercise,0.0,"2,263",0,"2,607",Jul 06 06:22 PM
SMITH BRAD D,Director,2022-06-30,Option Exercise,0.0,"2,076",0,"360,087",Jul 05 06:33 PM
Vazquez Raul,Director,2022-06-23,Sale,390.37,"1,790","698,753","2,019",Jun 27 04:23 PM
FENNELL LAURA A,"EVP, People and Places",2022-06-23,Sale,392.39,"10,000","3,923,883","28,717",Jun 27 04:22 PM
Chriss James Alexander,"EVP, SBSEG",2022-05-26,Sale,386.29,984,"380,109",343,May 27 07:05 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-05-01,Option Exercise,0.0,401,0,"14,415",May 03 06:35 PM
Chriss James Alexander,"EVP, SBSEG",2022-05-01,Option Exercise,0.0,576,0,"1,541",May 03 06:21 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-04-01,Option Exercise,0.0,"1,096",0,"14,395",Apr 04 03:10 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp Sec.",2022-04-01,Option Exercise,0.0,841,0,"10,516",Apr 04 03:09 PM
SMITH BRAD D,Director,2022-04-01,Option Exercise,0.0,"2,743",0,"358,654",Apr 04 03:10 PM
Goodarzi Sasan K,"CEO, President and Director",2022-04-01,Option Exercise,0.0,"1,715",0,"80,202",Apr 04 03:08 PM
Hotz Lauren D,"VP, Chief Accounting Officer",2022-04-01,Option Exercise,0.0,256,0,"1,770",Apr 04 03:08 PM
Johnson Gregory N,"EVP, Consumer Group",2022-04-01,Option Exercise,0.0,"1,349",0,"12,107",Apr 04 03:09 PM
FENNELL LAURA A,"EVP, People and Places",2022-04-01,Option Exercise,0.0,"1,458",0,"39,440",Apr 04 03:02 PM
Clatterbuck Michelle M,EVP and CFO,2022-04-01,Option Exercise,0.0,"1,232",0,"1,778",Apr 04 02:59 PM
Chriss James Alexander,"EVP, SBSEG",2022-04-01,Option Exercise,0.0,953,0,"1,296",Apr 04 02:58 PM
FENNELL LAURA A,"EVP, People and Places",2022-03-02,Option Exercise,113.19,"51,786","5,861,657","97,225",Mar 04 07:54 PM
FENNELL LAURA A,"EVP, People and Places",2022-03-02,Sale,475.03,"59,286","28,162,550","37,939",Mar 04 07:54 PM
Chriss James Alexander,"EVP, SBSEG",2022-02-28,Sale,478.84,368,"176,213",300,Mar 01 09:07 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-02-01,Option Exercise,0.0,402,0,"13,404",Feb 03 04:09 PM
Chriss James Alexander,"EVP, SBSEG",2022-02-01,Option Exercise,0.0,576,0,876,Feb 03 04:08 PM
DALZELL RICHARD L,Director,2022-01-23,Option Exercise,0.0,"4,695",0,"7,833",Jan 24 07:53 PM
DALZELL RICHARD L,Director,2022-01-20,Option Exercise,0.0,"3,138",0,"3,138",Jan 24 07:53 PM
WEINER JEFF,Director,2022-01-20,Option Exercise,0.0,"2,945",0,"24,289",Jan 24 07:54 PM
NORA JOHNSON SUZANNE M,Director,2022-01-20,Option Exercise,0.0,"2,220",0,"35,828",Jan 24 07:52 PM
POWELL DENNIS D,Director,2022-01-20,Option Exercise,0.0,"2,220",0,"6,454",Jan 24 07:53 PM
Vazquez Raul,Director,2022-01-20,Option Exercise,0.0,"2,220",0,"3,809",Jan 24 07:56 PM
FENNELL LAURA A,"EVP, People and Places",2022-01-05,Sale,607.47,"15,000","9,112,077","45,439",Jan 06 03:34 PM
Goodarzi Sasan K,"CEO, President and Director",2021-12-31,Option Exercise,0.0,"1,725",0,"79,366",Jan 04 09:05 PM
SMITH BRAD D,Executive Chairman,2021-12-31,Option Exercise,0.0,"2,889",0,"410,010",Jan 04 09:05 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-12-31,Option Exercise,0.0,"1,020",0,"10,141",Jan 04 06:13 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-12-31,Option Exercise,0.0,"1,095",0,"13,546",Jan 04 06:14 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-12-30,Sale,646.01,"4,992","3,224,904","12,451",Jan 04 06:14 PM
FENNELL LAURA A,"EVP, People and Places",2021-12-17,Option Exercise,0.0,610,0,"60,187",Dec 21 04:17 PM
SMITH BRAD D,Executive Chairman,2021-12-17,Option Exercise,0.0,547,0,"407,668",Dec 21 04:22 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-12-17,Option Exercise,0.0,357,0,"9,478",Dec 21 04:21 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-12-17,Option Exercise,0.0,36,0,300,Dec 21 04:19 PM
Chriss James Alexander,"EVP, SBSEG",2021-11-23,Sale,652.75,433,"282,641",300,Nov 24 01:22 PM
Goodarzi Sasan K,"CEO, President and Director",2021-11-22,Sale,685.96,"35,994","24,690,536","77,641",Nov 24 01:26 PM
Clatterbuck Michelle M,EVP and CFO,2021-11-22,Sale,691.96,620,"429,015",546,Nov 24 01:24 PM
Chriss James Alexander,"EVP, SBSEG",2021-11-22,Sale,691.96,336,"232,499",733,Nov 24 01:22 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-11-01,Option Exercise,0.0,402,0,"17,643",Nov 03 07:16 PM
