Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Huber Marie Oh,"SVP, General Counsel & Sec.",2021-09-15,Option Exercise,0.0,"8,648",0,"38,426",Sep 17 05:56 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-09-15,Option Exercise,0.0,"9,042",0,"17,073",Sep 17 05:54 PM
Thompson Pete,"SVP, Chief Product Officer",2021-09-15,Option Exercise,0.0,"5,831",0,"53,197",Sep 17 05:08 PM
IANNONE JAMIE,President and CEO,2021-09-15,Option Exercise,0.0,"5,942",0,"66,371",Sep 17 04:53 PM
Green Logan,Director,2021-09-15,Sale,73.99,463,"34,257","26,290",Nov 05 05:05 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-30,Sale,77.69,"2,862","222,350","8,031",Sep 01 05:04 PM
Bates Anthony John,Director,2021-08-25,Sale,74.12,"19,060","1,412,739","20,360",Aug 27 05:50 PM
SWAN ROBERT HOLMES,Director,2021-08-19,Sale,73.15,"40,000","2,925,884","214,322",Aug 23 05:03 PM
Thompson Pete,"SVP, Chief Product Officer",2021-08-17,Sale,73.96,"2,098","155,168","47,366",Aug 19 04:02 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-16,Sale,74.87,"12,616","944,501","10,893",Aug 18 04:19 PM
Thompson Pete,"SVP, Chief Product Officer",2021-08-15,Option Exercise,0.0,"8,710",0,"53,979",Aug 17 05:27 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-15,Option Exercise,0.0,"4,740",0,"25,899",Aug 17 05:11 PM
Green Logan,Director,2021-08-13,Buy,74.02,536,"39,675","26,753",Nov 05 05:05 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-13,Sale,73.49,"14,584","1,071,788","21,159",Aug 17 05:11 PM
Green Logan,Director,2021-08-12,Buy,68.89,16,"1,102","26,217",Nov 05 05:05 PM
IANNONE JAMIE,President and CEO,2021-08-07,Option Exercise,0.0,"7,591",0,"64,389",Aug 10 04:05 PM
Thompson Pete,"SVP, Chief Product Officer",2021-08-02,Sale,68.81,536,"36,882","45,269",Aug 04 04:38 PM
Green Logan,Director,2021-07-21,Buy,69.86,7,489,"26,201",Nov 05 05:05 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2021-07-15,Option Exercise,0.0,"2,462",0,"31,055",Jul 19 04:34 PM
Green Logan,Director,2021-07-14,Buy,68.03,19,"1,293","26,194",Nov 05 05:05 PM
