Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Scott Stuart Lockard,EVP/CIO,2021-09-03,Sale,183.34,"1,757","322,132","19,477",Sep 07 01:45 PM
Hicks Bradley W.,EVP & Pres Highway Services,2021-08-27,Sale,179.19,500,"89,595","15,747",Aug 30 02:37 PM
McGee Eric,EVP Highway Services,2021-07-26,Sale,165.53,"1,300","215,189",952,Jul 28 12:00 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2021-07-15,Option Exercise,0.0,"1,885",0,"9,581",Jul 19 07:40 PM
Scott Stuart Lockard,EVP/CIO,2021-07-15,Option Exercise,0.0,"6,048",0,"22,525",Jul 19 07:29 PM
Kuhlow John,EVP & CFO,2021-07-15,Option Exercise,0.0,"3,741",0,"7,545",Jul 19 07:16 PM
Hobbs Nicholas,"EVP,Pres Contract Services&COO",2021-07-15,Option Exercise,0.0,"9,714",0,"79,910",Jul 19 07:16 PM
McGee Eric,EVP Highway Services,2021-07-15,Option Exercise,0.0,"2,181",0,"2,619",Jul 19 07:04 PM
Bracy Kevin,"SR VP, Treasurer",2021-07-15,Option Exercise,0.0,"1,850",0,"5,620",Jul 19 06:57 PM
ROBERTS JOHN N,President and CEO,2021-07-15,Option Exercise,0.0,"12,371",0,"338,037",Jul 19 06:57 PM
Simpson Shelley,"EVP, CCO & People/HR",2021-07-15,Option Exercise,0.0,"12,714",0,"76,328",Jul 19 06:58 PM
Hicks Bradley W.,EVP & Pres Highway Services,2021-07-15,Option Exercise,0.0,"2,181",0,"17,062",Jul 19 06:58 PM
