Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
WOOD DONALD C,Chief Executive Officer,2022-02-14,Sale,112.21,"1,891","212,196","198,819",Feb 14 05:21 PM
WOOD DONALD C,Chief Executive Officer,2022-02-13,Sale,111.24,"10,000","1,112,352","200,710",Feb 14 05:21 PM
Guglielmone Daniel,EVP-CFO and Treasurer,2022-02-13,Sale,110.69,"2,500","276,732","50,782",Feb 14 05:19 PM
FAEDER DAVID W,Director,2022-06-21,Buy,95.84,"10,565","1,012,587","23,878",Jun 22 04:06 PM
