Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Marchuk Neil Edward,"EVP, HR",2022-03-06,Sale,43.61,"57,000","2,485,576","286,751",Mar 08 05:59 PM
Shultz Barbara Lou,Vice President and Controller,2022-02-23,Option Exercise,23.86,"4,627","110,400","25,169",Feb 24 06:01 PM
Shultz Barbara Lou,Vice President and Controller,2022-02-23,Sale,42.16,"4,627","195,078","20,542",Feb 24 06:01 PM
Giacobbe Ken,EVP and CFO,2022-06-03,Option Exercise,23.07,"79,548","1,835,153","445,683",Jun 06 09:56 PM
Giacobbe Ken,EVP and CFO,2022-06-03,Sale,36.31,"63,304","2,298,435","382,379",Jun 06 09:56 PM
Shultz Barbara Lou,Vice President and Controller,2021-11-11,Option Exercise,21.98,"2,038","44,795","19,370",Nov 15 07:40 PM
Shultz Barbara Lou,Vice President and Controller,2021-11-11,Sale,32.3,"2,038","65,828","17,332",Nov 15 07:40 PM
Giacobbe Ken,EVP and CFO,2021-09-08,Option Exercise,21.98,"5,255","115,505","261,992",Sep 10 07:19 PM
Giacobbe Ken,EVP and CFO,2021-09-08,Sale,31.08,"4,386","136,317","257,606",Sep 10 07:19 PM
