Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Page Lawrence,Director,2022-04-14,Sale,2560.86,"12,689","32,494,785","19,542,591",Apr 18 08:43 PM
Sergey Brin,Director,2022-04-13,Sale,2600.32,"2,710","7,046,878",0,Apr 15 09:39 PM
Sergey Brin,Director,2022-04-13,Sale,2578.54,"11,178","28,822,950","2,710",Apr 15 09:37 PM
Sergey Brin,Director,2022-04-13,Sale,2609.21,"1,276","3,329,356","18,569,765",Apr 15 09:36 PM
Sergey Brin,Director,2022-04-13,Sale,2590.52,"12,612","32,671,681","18,571,041",Apr 15 09:35 PM
Sergey Brin,Director,2022-04-12,Sale,2601.9,"6,261","16,290,519",0,Apr 14 06:27 PM
Sergey Brin,Director,2022-04-12,Sale,2560.91,"7,628","19,534,643","6,261",Apr 14 06:23 PM
Sergey Brin,Director,2022-04-12,Sale,2623.06,"5,100","13,377,609","18,583,653",Apr 14 04:52 PM
Sergey Brin,Director,2022-04-12,Sale,2581.38,"8,789","22,687,792","18,588,753",Apr 14 04:48 PM
Sergey Brin,Director,2022-04-11,Sale,2632.28,"2,639","6,946,576",0,Apr 12 09:52 PM
Sergey Brin,Director,2022-04-11,Sale,2648.31,"2,300","6,091,104","18,597,542",Apr 12 09:49 PM
Sergey Brin,Director,2022-04-11,Sale,2594.59,"11,250","29,189,085","2,639",Apr 12 09:47 PM
Sergey Brin,Director,2022-04-11,Sale,2612.0,"11,589","30,270,520","18,599,842",Apr 12 09:20 PM
"GV 2016 GP, L.L.C.",10% Owner,2022-04-11,Sale,11.16,"544,249","6,074,458",0,Apr 12 06:12 PM
HENNESSY JOHN L,Director,2022-04-11,Sale,2618.42,31,"81,171",296,Apr 13 08:58 PM
HENNESSY JOHN L,Director,2022-04-11,Sale,2574.94,94,"242,044","2,013",Apr 13 08:56 PM
