Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-09,Buy,30.74,"4,194","128,908","63,497",Sep 12 04:15 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-09,Buy,4.56,"26,347","120,137","5,370,496",Sep 12 10:00 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-08,Buy,4.55,"58,211","264,831","5,344,149",Sep 12 10:00 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-08,Buy,29.97,"4,400","131,866","59,303",Sep 12 04:15 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-07,Buy,12.72,"1,965,409","25,000,000","5,903,968",Sep 09 03:08 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-07,Buy,4.56,"71,230","324,745","5,285,938",Sep 08 09:23 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-07,Buy,29.82,"4,500","134,211","54,903",Sep 08 01:40 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-06,Buy,4.59,"67,752","310,772","5,214,708",Sep 08 09:23 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-06,Buy,30.05,"4,645","139,593","50,403",Sep 08 01:40 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-02,Buy,4.64,"58,900","273,543","5,146,956",Sep 06 09:17 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-02,Buy,30.31,"4,600","139,421","45,758",Sep 06 10:42 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-01,Buy,4.64,"76,800","356,644","5,088,056",Sep 06 09:17 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-01,Buy,29.51,"4,300","126,902","41,158",Sep 06 10:42 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-31,Buy,4.65,"75,286","350,170","5,011,256",Sep 01 04:29 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-31,Buy,30.37,"4,496","136,533","36,858",Sep 01 11:27 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-30,Buy,4.65,"75,695","352,035","4,935,970",Sep 01 04:29 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-30,Buy,30.79,"4,000","123,150","32,362",Sep 01 11:27 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-29,Buy,4.67,"74,435","347,850","4,860,275",Aug 30 09:08 AM
