Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Del Rio Frank J,Pres. & CEO,2022-11-15,Sale,18.33,"58,072","1,064,639",0,Nov 16 05:31 PM
Kempa Mark,EVP & CFO,2022-11-15,Sale,18.54,"25,000","463,425","197,651",Nov 16 05:30 PM
Farkas Daniel S,EVP Gen. Counsel & Asst. Sec'y,2022-11-14,Sale,17.93,"44,000","788,700","231,160",Nov 14 05:31 PM
Montague Jason,Pres. & CEO of RSSC,2022-11-10,Sale,16.49,"32,879","542,306","226,002",Nov 14 05:30 PM
Montague Jason,Pres. & CEO of RSSC,2022-09-12,Sale,14.68,"62,758","921,287","258,881",Sep 14 05:01 PM
Kempa Mark,EVP & CFO,2022-08-24,Sale,13.50,"55,000","742,692","222,651",Aug 26 05:16 PM
SHERMAN HOWARD J,Pres. & CEO Oceania Cruises,2022-08-18,Sale,13.63,"86,225","1,175,273","140,609",Aug 19 05:16 PM
Galbut Russell W,Director,2022-05-23,Buy,15.12,"100,000","1,512,500","489,917",May 25 04:31 PM
Binder Robert,"Vice Chair, Pres. & CEO OC",2021-09-09,Sale,25.12,"33,863","850,670","137,426",Sep 10 05:02 PM
